연도,날짜,gameId,팀,선수명,타순,포지션,타석,타수,안타,볼넷,사구,삼진,2루타,3루타,홈런,희생번트,희생플라이,병살타,타격방해,고의사구,page_id,득점,타점,포지션복사
2026,2026-03-28,20260328KTLG0,KT,최원준,1,CF→RF,6,5,1,1,0,1,0,0,0,0,0,0,0,0,1631314,0,0,중우
2026,2026-03-28,20260328KTLG0,KT,김현수,2,1B,6,5,1,1,0,0,0,0,0,0,0,0,0,0,203566,1,1,一
2026,2026-03-28,20260328KTLG0,KT,배정대,2,PR→CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015525,0,0,주중
2026,2026-03-28,20260328KTLG0,KT,안현민,3,RF,6,2,1,2,2,1,0,1,0,0,0,0,0,0,3891049,3,0,우
2026,2026-03-28,20260328KTLG0,KT,오윤석,3,1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1627509,0,0,一
2026,2026-03-28,20260328KTLG0,KT,힐리어드,4,LF,5,4,3,0,0,0,0,0,1,0,1,0,0,0,10000007,2,3,좌
2026,2026-03-28,20260328KTLG0,KT,장진혁,4,LF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1945252,0,0,좌
2026,2026-03-28,20260328KTLG0,KT,류현인,5,2B,5,5,2,0,0,0,0,0,0,0,0,0,0,0,3611499,1,1,二
2026,2026-03-28,20260328KTLG0,KT,이정훈,6,DH,3,3,2,0,0,0,0,0,0,0,0,0,0,0,1757008,1,2,지
2026,2026-03-28,20260328KTLG0,KT,안치영,6,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1811867,0,0,주
2026,2026-03-28,20260328KTLG0,KT,장성우,6,PH→DH,2,2,1,0,0,1,0,0,0,0,0,0,0,0,352927,0,0,타지
2026,2026-03-28,20260328KTLG0,KT,허경민,7,3B,5,5,3,0,0,0,0,0,0,0,0,0,0,0,450683,1,1,三
2026,2026-03-28,20260328KTLG0,KT,한승택,8,C,5,5,1,0,0,2,0,0,0,0,0,0,0,0,912207,1,1,포
2026,2026-03-28,20260328KTLG0,KT,박영현,8,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3198300,0,0,투
2026,2026-03-28,20260328KTLG0,KT,이강민,9,SS,5,5,3,0,0,0,1,0,0,0,0,0,0,0,10000008,1,2,유
2026,2026-03-28,20260328KTLG0,LG,홍창기,1,RF,6,3,1,3,0,2,0,0,0,0,0,0,0,0,1607303,1,0,우
2026,2026-03-28,20260328KTLG0,LG,신민재,2,2B,5,5,1,0,0,0,0,0,0,0,0,0,0,0,2484309,0,1,二
2026,2026-03-28,20260328KTLG0,LG,오스틴,3,1B,5,5,3,0,0,0,0,0,0,0,0,0,0,0,3333938,2,0,一
2026,2026-03-28,20260328KTLG0,LG,문보경,4,DH,5,3,2,1,0,0,1,0,0,0,1,1,0,0,2966754,1,2,지
2026,2026-03-28,20260328KTLG0,LG,박동원,5,C,4,3,3,1,0,0,0,0,1,0,0,0,0,0,468477,1,3,포
2026,2026-03-28,20260328KTLG0,LG,천성호,5,3B,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2717987,0,0,三
2026,2026-03-28,20260328KTLG0,LG,문성주,6,LF,5,4,1,0,0,1,0,0,0,0,1,0,0,0,1983121,0,1,좌
2026,2026-03-28,20260328KTLG0,LG,오지환,7,SS,3,3,0,0,0,0,0,0,0,0,0,0,0,0,273675,0,0,유
2026,2026-03-28,20260328KTLG0,LG,이재원,7,PH,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2600568,0,0,타
2026,2026-03-28,20260328KTLG0,LG,이주헌,7,C,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3890122,0,0,포
2026,2026-03-28,20260328KTLG0,LG,구본혁,8,3B→SS,5,4,0,1,0,0,0,0,0,0,0,0,0,0,2522898,1,0,三유
2026,2026-03-28,20260328KTLG0,LG,박해민,9,CF,5,4,1,1,0,1,0,0,0,0,0,0,0,0,844422,1,0,중
2026,2026-03-28,20260328HTSK0,KIA,김호령,1,CF,5,4,0,1,0,1,0,0,0,0,0,0,0,0,1146368,1,0,중
2026,2026-03-28,20260328HTSK0,KIA,카스트로,2,LF,5,5,3,0,0,1,1,0,0,0,0,0,0,0,10000009,2,0,좌
2026,2026-03-28,20260328HTSK0,KIA,박재현,2,PR→RF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3977734,1,0,주우
2026,2026-03-28,20260328HTSK0,KIA,김도영,3,3B,5,5,2,0,0,0,0,0,0,0,0,0,0,0,3196494,2,0,三
2026,2026-03-28,20260328HTSK0,KIA,나성범,4,DH,5,4,2,1,0,2,0,0,0,0,0,0,0,0,678785,0,1,지
2026,2026-03-28,20260328HTSK0,KIA,김선빈,5,2B,5,4,2,1,0,0,0,0,0,0,0,0,0,1,222661,0,4,二
2026,2026-03-28,20260328HTSK0,KIA,김규성,5,PR→2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2704538,0,0,주二
2026,2026-03-28,20260328HTSK0,KIA,오선우,6,RF,3,3,0,0,0,2,0,0,0,0,0,0,0,0,2506627,0,0,우
2026,2026-03-28,20260328HTSK0,KIA,박정우,6,RF→LF,2,2,1,0,0,1,0,0,0,0,0,0,0,0,2966764,0,1,우좌
2026,2026-03-28,20260328HTSK0,KIA,윤도현,7,1B,5,5,1,0,0,2,0,0,0,0,0,0,0,0,3638750,0,0,一
2026,2026-03-28,20260328HTSK0,KIA,김태군,8,C,4,4,1,0,0,2,1,0,0,0,0,0,0,0,289623,0,0,포
2026,2026-03-28,20260328HTSK0,KIA,정현창,8,PR→SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4063300,0,0,주유
2026,2026-03-28,20260328HTSK0,KIA,박민,9,SS,3,3,0,0,0,2,0,0,0,0,0,0,0,0,2825638,0,0,유
2026,2026-03-28,20260328HTSK0,KIA,한준수,9,PH→C,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1797505,0,0,타포
2026,2026-03-28,20260328HTSK0,SSG,박성한,1,SS,5,3,1,2,0,0,0,0,0,0,0,0,0,0,1838428,1,0,유
2026,2026-03-28,20260328HTSK0,SSG,에레디아,2,LF,5,5,1,0,0,1,0,0,0,0,0,0,0,0,3329386,0,1,좌
2026,2026-03-28,20260328HTSK0,SSG,최정,3,3B,5,3,1,1,1,1,0,0,0,0,0,0,0,0,74405,0,0,三
2026,2026-03-28,20260328HTSK0,SSG,김재환,4,DH,4,3,0,1,0,2,0,0,0,0,0,0,0,0,450679,1,0,지
2026,2026-03-28,20260328HTSK0,SSG,고명준,5,1B,4,4,1,0,0,1,0,0,0,0,0,0,0,0,2966322,1,0,一
2026,2026-03-28,20260328HTSK0,SSG,최지훈,6,CF,4,3,1,1,0,0,0,0,0,0,0,0,0,0,2698101,1,0,중
2026,2026-03-28,20260328HTSK0,SSG,조형우,7,C,4,4,0,0,0,1,0,0,0,0,0,0,0,0,3234622,1,1,포
2026,2026-03-28,20260328HTSK0,SSG,김성욱,8,RF,3,3,0,0,0,1,0,0,0,0,0,0,0,0,678893,0,0,우
2026,2026-03-28,20260328HTSK0,SSG,안상현,8,2B,1,1,1,0,0,0,1,0,0,0,0,0,0,0,2020561,1,0,二
