date,gameId,Time,Away,Away_R,Home_R,Home,Stadium,Review_URL,ELO_pre_away,ELO_pre_home,away_win_prob,home_win_prob,elo_post_away,elo_post_home,away_starter,home_starter,away_starter_rgs,home_starter_rgs,away_team_rgs,home_team_rgs,away_adj,home_adj,elo_match_away,elo_match_home
2026-03-28,20260328HTSK0,14:00,KIA,6.0,7.0,SSG,문학,20260328HTSK0,1500.0,1500.0,0.4933,0.5067,1498.6665,1501.3335,네일,화이트,60.2704,56.9,50.4556,51.8028,40.2407,20.8986,1540.2407,1544.8986
2026-03-28,20260328KTLG0,14:00,KT,11.0,7.0,LG,잠실,20260328KTLG0,1500.0,1500.0,0.4443,0.5557,1503.488,1496.512,사우어,치리노스,50.624,56.2167,51.584,53.5528,-3.9363,10.9219,1496.0637,1534.9219
2026-03-28,20260328LTSS0,14:00,롯데,6.0,3.0,삼성,대구,20260328LTSS0,1500.0,1500.0,0.4394,0.5606,1503.0311,1496.9689,로드리게스,후라도,50.624,58.5,47.8688,51.2715,11.2964,29.6367,1511.2964,1553.6367
2026-03-28,20260328OBNC0,14:00,두산,0.0,6.0,NC,창원,20260328OBNC0,1500.0,1500.0,0.4435,0.5565,1496.6341,1503.3659,플렉센,구창모,50.624,51.2333,50.4382,47.2889,0.7616,16.1722,1500.7616,1540.1722
2026-03-28,20260328WOHH0,14:00,키움,9.0,10.0,한화,대전,20260328WOHH0,1500.0,1500.0,0.5536,0.4464,1498.5034,1501.4966,알칸타라,에르난데스,56.0579,50.624,46.216,55.7611,40.3519,-21.0623,1540.3519,1502.9377
2026-03-29,20260329HTSK0,14:00,KIA,6.0,11.0,SSG,문학,20260329HTSK0,1498.6665,1501.3335,0.4107,0.5893,1495.7931,1504.2069,이의리,김건우,40.95,51.0923,50.4556,51.8028,-38.9728,-2.9129,1459.6937,1522.4206
2026-03-29,20260329KTLG0,14:00,KT,6.0,5.0,LG,잠실,20260329KTLG0,1503.488,1496.512,0.5012,0.4988,1504.8406,1495.1594,소형준,임찬규,56.8792,54.4926,51.584,53.5528,21.7101,3.8532,1525.198,1524.3653
2026-03-29,20260329LTSS0,14:00,롯데,6.0,2.0,삼성,대구,20260329LTSS0,1503.0311,1496.9689,0.51,0.49,1506.1154,1493.8846,비슬리,최원태,50.624,47.9625,47.8688,51.2715,11.2964,-13.567,1514.3274,1507.4019
2026-03-29,20260329OBNC0,14:00,두산,9.0,6.0,NC,창원,20260329OBNC0,1496.6341,1503.3659,0.4556,0.5444,1499.5687,1500.4313,곽빈,테일러,53.7158,50.624,50.4382,47.2889,13.4381,13.6738,1510.0722,1541.0397
2026-03-29,20260329WOHH0,14:00,키움,4.0,10.0,한화,대전,20260329WOHH0,1498.5034,1501.4966,0.5119,0.4881,1494.613,1505.387,하영민,왕옌청,49.6857,50.624,46.216,55.7611,14.2259,-21.0623,1512.7293,1504.4343
2026-03-31,20260331HTLG0,18:30,KIA,7.0,2.0,LG,잠실,20260331HTLG0,1495.7931,1495.1594,0.4852,0.5148,1499.3914,1491.5611,올러,톨허스트,57.2269,56.9,50.4556,53.5528,27.7626,13.7236,1524.9079,1535.183
2026-03-31,20260331KTHH0,18:30,KT,9.0,4.0,한화,대전,20260331KTHH0,1504.8406,1505.387,0.4873,0.5127,1508.4227,1501.805,보쉴리,화이트,50.624,50.624,51.584,55.7611,-3.9363,-21.0623,1501.7743,1510.6247
2026-03-31,20260331LTNC0,18:30,롯데,2.0,9.0,NC,창원,20260331LTNC0,1506.1154,1500.4313,0.4569,0.5431,1502.4198,1504.127,박세웅,토다,48.6321,50.624,47.8688,47.2889,3.1299,13.6738,1510.3687,1540.4051
