Date,Time,Away,Away_R,Home_R,Home,Stadium,Review_URL,gameId
2026.03.28,14:00,KT,11.0,7.0,LG,잠실,20260328KTLG0,20260328KTLG0
2026.03.28,14:00,KIA,6.0,7.0,SSG,문학,20260328HTSK0,20260328HTSK0
2026.03.28,14:00,롯데,6.0,3.0,삼성,대구,20260328LTSS0,20260328LTSS0
2026.03.28,14:00,두산,0.0,6.0,NC,창원,20260328OBNC0,20260328OBNC0
2026.03.28,14:00,키움,9.0,10.0,한화,대전,20260328WOHH0,20260328WOHH0
2026.03.29,14:00,KT,6.0,5.0,LG,잠실,20260329KTLG0,20260329KTLG0
2026.03.29,14:00,KIA,6.0,11.0,SSG,문학,20260329HTSK0,20260329HTSK0
2026.03.29,14:00,롯데,6.0,2.0,삼성,대구,20260329LTSS0,20260329LTSS0
2026.03.29,14:00,두산,9.0,6.0,NC,창원,20260329OBNC0,20260329OBNC0
2026.03.29,14:00,키움,4.0,10.0,한화,대전,20260329WOHH0,20260329WOHH0
2026.03.31,18:30,KIA,7.0,2.0,LG,잠실,20260331HTLG0,20260331HTLG0
2026.03.31,18:30,키움,3.0,9.0,SSG,문학,20260331WOSK0,20260331WOSK0
2026.03.31,18:30,두산,5.0,5.0,삼성,대구,20260331OBSS0,20260331OBSS0
2026.03.31,18:30,롯데,2.0,9.0,NC,창원,20260331LTNC0,20260331LTNC0
2026.03.31,18:30,KT,9.0,4.0,한화,대전,20260331KTHH0,20260331KTHH0
2026.04.01,18:30,KIA,2.0,7.0,LG,잠실,20260401HTLG0,20260401HTLG0
2026.04.01,18:30,키움,11.0,2.0,SSG,문학,20260401WOSK0,20260401WOSK0
2026.04.01,18:30,두산,3.0,13.0,삼성,대구,20260401OBSS0,20260401OBSS0
2026.04.01,18:30,롯데,4.0,5.0,NC,창원,20260401LTNC0,20260401LTNC0
2026.04.01,18:30,KT,14.0,11.0,한화,대전,20260401KTHH0,20260401KTHH0
2026.04.02,18:30,KIA,1.0,2.0,LG,잠실,20260402HTLG0,20260402HTLG0
2026.04.02,18:30,키움,1.0,11.0,SSG,문학,20260402WOSK0,20260402WOSK0
2026.04.02,18:30,두산,2.0,5.0,삼성,대구,20260402OBSS0,20260402OBSS0
2026.04.02,18:30,롯데,4.0,8.0,NC,창원,20260402LTNC0,20260402LTNC0
