연도,날짜,gameId,팀,선수명,역할,결과,투구점수,아웃수,피안타,피홈런,볼넷,삼진,실점,자책,타자수,투구수,G,page_id
2026,2026-03-28,20260328KTLG0,KT,사우어,선발,승,37.900000000000006,15,5,1,5,1,3,3,24,88,1,10000000
2026,2026-03-28,20260328KTLG0,KT,전용주,중계,nan,52.9,3,0,0,0,1,0,0,3,14,1,2488113
2026,2026-03-28,20260328KTLG0,KT,한승혁,중계,nan,37.4,2,4,0,0,1,2,2,6,20,1,606770
2026,2026-03-28,20260328KTLG0,KT,스기모토,중계,nan,35.9,1,3,0,1,1,2,2,5,24,1,10000001
2026,2026-03-28,20260328KTLG0,KT,우규민,중계,홀드,48.9,1,0,0,0,0,0,0,1,2,1,236907
2026,2026-03-28,20260328KTLG0,KT,박영현,중계,세,51.9,5,0,0,2,1,0,0,7,34,1,3198300
2026,2026-03-28,20260328KTLG0,LG,치리노스,선발,패,19.9,3,6,0,1,0,6,6,10,36,1,3925530
2026,2026-03-28,20260328KTLG0,LG,배재준,중계,nan,47.9,5,3,0,1,1,0,0,8,31,1,873442
2026,2026-03-28,20260328KTLG0,LG,이정용,중계,nan,40.9,3,2,0,2,0,1,1,7,23,1,2795411
2026,2026-03-28,20260328KTLG0,LG,함덕주,중계,nan,51.4,4,1,0,0,0,0,0,4,18,1,972917
2026,2026-03-28,20260328KTLG0,LG,김영우,중계,nan,42.9,3,3,0,0,0,1,1,6,21,1,3977599
2026,2026-03-28,20260328KTLG0,LG,백승현,중계,nan,34.9,3,3,1,0,2,3,3,6,23,1,1835342
2026,2026-03-28,20260328KTLG0,LG,우강훈,중계,nan,53.9,3,0,0,0,2,0,0,3,11,1,3697147
2026,2026-03-28,20260328KTLG0,LG,박시원,중계,nan,47.9,3,0,0,2,0,0,0,5,20,1,4073237
2026,2026-03-28,20260328HTSK0,KIA,네일,선발,nan,73.4,18,2,0,1,5,0,0,21,84,1,3751352
2026,2026-03-28,20260328HTSK0,KIA,김범수,중계,nan,32.4,0,2,0,1,0,3,2,3,17,1,1110793
2026,2026-03-28,20260328HTSK0,KIA,성영탁,중계,홀드,49.9,3,1,0,0,0,0,0,4,17,1,4036535
2026,2026-03-28,20260328HTSK0,KIA,전상현,중계,홀드,51.9,3,0,0,1,2,0,0,4,12,1,1631324
2026,2026-03-28,20260328HTSK0,KIA,정해영,중계,nan,34.9,1,2,0,1,1,3,3,4,21,1,2765633
2026,2026-03-28,20260328HTSK0,KIA,조상우,중계,패,38.4,0,1,0,2,0,1,1,3,13,1,834583
2026,2026-03-28,20260328HTSK0,SSG,화이트,선발,nan,32.400000000000006,12,9,0,2,4,5,5,23,91,1,3920646
2026,2026-03-28,20260328HTSK0,SSG,전영준,중계,nan,54.9,3,0,0,0,3,0,0,3,12,1,3226570
2026,2026-03-28,20260328HTSK0,SSG,박시후,중계,nan,53.9,3,0,0,0,2,0,0,3,12,1,3238123
2026,2026-03-28,20260328HTSK0,SSG,문승원,중계,nan,52.9,3,0,0,0,1,0,0,3,13,1,725147
2026,2026-03-28,20260328HTSK0,SSG,이로운,중계,nan,48.9,3,1,0,1,1,0,0,5,25,1,3611909
2026,2026-03-28,20260328HTSK0,SSG,김민,중계,승,44.9,3,2,0,1,2,1,1,6,21,1,1797467
2026,2026-03-28,20260328LTSS0,롯데,로드리게스,선발,승,59.900000000000006,15,2,0,5,4,0,0,22,101,1,10000002
2026,2026-03-28,20260328LTSS0,롯데,정철원,중계,홀드,53.9,3,0,0,0,2,0,0,3,14,1,3213352
2026,2026-03-28,20260328LTSS0,롯데,최준용,중계,nan,48.9,3,0,0,2,1,0,0,5,24,1,2790445
2026,2026-03-28,20260328LTSS0,롯데,쿄야마,중계,nan,45.9,3,2,0,0,1,1,0,5,23,1,10000003
2026,2026-03-28,20260328LTSS0,롯데,김원중,중계,nan,36.9,1,3,0,0,0,2,2,4,13,1,836135
2026,2026-03-28,20260328LTSS0,롯데,박정민,중계,세,48.4,2,1,0,1,2,0,0,4,15,1,10000004
2026,2026-03-28,20260328LTSS0,삼성,후라도,선발,패,49.400000000000006,18,7,1,0,2,3,3,25,91,1,3323118
2026,2026-03-28,20260328LTSS0,삼성,육선엽,중계,nan,39.9,3,1,1,1,2,2,2,5,19,1,3805547
2026,2026-03-28,20260328LTSS0,삼성,임기영,중계,nan,38.4,2,3,1,0,1,1,1,5,16,1,811244
2026,2026-03-28,20260328LTSS0,삼성,백정현,중계,nan,54.4,4,0,0,0,1,0,0,4,15,1,299512
2026,2026-03-28,20260328OBNC0,두산,플렉센,선발,패,39.400000000000006,12,2,1,6,3,3,2,21,93,1,2607969
2026,2026-03-28,20260328OBNC0,두산,박신지,중계,nan,48.4,4,0,0,2,2,1,1,6,22,1,1953587
2026,2026-03-28,20260328OBNC0,두산,이병헌,중계,nan,40.9,1,1,0,0,0,2,0,3,13,1,3280803
2026,2026-03-28,20260328OBNC0,두산,박치국,중계,nan,45.9,1,2,0,0,1,0,0,3,7,1,1747365
2026,2026-03-28,20260328OBNC0,두산,양재훈,중계,nan,53.9,3,0,0,0,2,0,0,3,16,1,4011537
2026,2026-03-28,20260328OBNC0,두산,최원준,중계,nan,50.9,3,0,0,1,1,0,0,3,15,1,1890246
