Season,Team,Batter,BatSide,ThrowHand,page_id,birthplace,birthdate,height_cm,weight_kg,pro_debut_year,draft_info,elementary_school,middle_school,high_school,university,school,position
2026,KT,최원준,좌,우,1631314,대한민국 경기도 광명시,1997-03-23,178.0,84.0,2016.0,2016년 2차 1라운드(KIA 타이거즈),연현초등학교,서울 경원중학교,서울고등학교,,연현초등학교-서울 경원중학교-서울고등학교,중견수
2026,KT,김현수,좌,우,203566,대한민국 서울특별시 도봉구,1988-01-12,188.0,105.0,2006.0,지명없음(육성선수 입단),서울쌍문초등학교,서울 신일중학교,신일고등학교,,서울쌍문초등학교-서울 신일중학교-신일고등학교,1루수
2026,KT,배정대,우,우,1015525,대한민국 서울특별시,1995-06-12,185.0,80.0,2014.0,2014년 2차 1라운드(LG 트윈스),서울도신초등학교,서울 성남중학교,서울 성남고등학교,디지털서울문화예술대학교,서울도신초등학교-서울 성남중학교-서울 성남고등학교-디지털서울문화예술대학교,중견수
2026,KT,안현민,우,우,3891049,경상남도 김해시,2003-08-22,183.0,90.0,2022.0,2022년 신인드래프트 2차 4라운드 38번(kt wiz),임호초등학교,부산개성중학교,마산고등학교,,임호초등학교-부산개성중학교-마산고등학교,우익수
2026,KT,오윤석,우,우,1627509,대한민국 경기도 고양시,1992-02-24,180.0,87.0,2014.0,<del>2010년 8라운드(롯데 자이언츠)</del> 지명없음(육성선수 입단),화중초등학교,자양중학교,경기고등학교,연세대학교,화중초등학교-자양중학교-경기고등학교-연세대학교,1루수
2026,KT,힐리어드,좌,좌,10000007,,1994-02-21,196.0,,,,,,,,,좌익수
2026,KT,장진혁,좌,우,1945252,대한민국 광주광역시,1993-09-30,184.0,90.0,2016.0,2016년 2차 4라운드(한화 이글스),광주화정초등학교,광주충장중학교,광주제일고등학교,단국대학교,광주화정초등학교-광주충장중학교-광주제일고등학교-단국대학교,우익수
2026,KT,류현인,좌,우,3611499,대한민국 광주광역시,2000-11-08,174.0,80.0,2023.0,2023년 7라운드(kt wiz),광주수창초등학교,광주진흥중학교,광주진흥고등학교,단국대학교,광주수창초등학교-광주진흥중학교-광주진흥고등학교-단국대학교,3루수
2026,KT,이정훈,좌,우,1757008,대한민국 경기도 구리시,1994-12-07,185.0,90.0,2017.0,2017년 2차 10라운드(KIA 타이거즈),교문초등학교,배재중학교,휘문고등학교,경희대학교,교문초등학교-배재중학교-휘문고등학교-경희대학교,지명타자
2026,KT,안치영,좌,우,1811867,대한민국 경기도 부천시,1998-05-29,176.0,72.0,2017.0,2017년 2차 6라운드(kt 위즈),경기 중동초등학교,천안북중학교,북일고등학교,,경기 중동초등학교-천안북중학교-북일고등학교,
2026,KT,장성우,우,우,352927,대한민국 부산광역시,1990-01-17,187.0,100.0,2008.0,2008년 1차 지명(롯데 자이언츠),부산 감천초등학교,경남중학교,경남고등학교,,부산 감천초등학교-경남중학교-경남고등학교,지명타자
2026,KT,허경민,우,우,450683,대한민국 광주광역시,1990-08-26,176.0,69.0,2009.0,2009년 2차 1라운드(두산 베어스),송정동초등학교,광주충장중학교,광주제일고등학교,,송정동초등학교-광주충장중학교-광주제일고등학교,3루수
2026,KT,한승택,우,우,912207,대한민국 서울특별시,1994-06-21,174.0,83.0,2013.0,2013년 3라운드(한화 이글스),서울잠전초등학교,잠신중학교,덕수고등학교,,서울잠전초등학교-잠신중학교-덕수고등학교,포수
2026,KT,박영현,우,우,3198300,대한민국 전라남도 구례군,2003-10-11,183.0,91.0,2022.0,2022년 1차 지명(kt 위즈),부천북초등학교,부천중학교,유신고등학교,,부천북초등학교-부천중학교-유신고등학교,
2026,KT,이강민,우,우,10000008,,2007-01-27,181.0,,,,,,,,,유격수
2026,LG,홍창기,좌,우,1607303,대한민국 경기도 성남시,1993-11-21,189.0,94.0,2016.0,2016년 2차 3라운드(LG 트윈스),대일초등학교,매송중학교,안산공업고등학교,건국대학교,대일초등학교-매송중학교-안산공업고등학교-건국대학교,우익수
2026,LG,신민재,좌,우,2484309,대한민국 인천광역시,1996-01-21,171.0,76.0,2015.0,지명없음(육성선수 입단),인천서흥초등학교,동인천중학교,인천고등학교,,인천서흥초등학교-동인천중학교-인천고등학교,2루수
2026,LG,오스틴,우,우,3333938,텍사스주 휴스턴 스프링,1993-10-14,183.0,97.0,2018.0,4라운드 137순위 (마이애미 말린스),,,,,,1루수
2026,LG,문보경,좌,우,2966754,대한민국 서울특별시,2000-07-19,182.0,89.0,2019.0,2019년 2차 3라운드(LG 트윈스),서울송중초등학교,덕수중학교,신일고등학교,,서울송중초등학교-덕수중학교-신일고등학교,지명타자
2026,LG,박동원,우,우,468477,대한민국 부산직할시,1990-04-07,178.0,92.0,2009.0,2009년 2차 3라운드(히어로즈),양정초등학교,부산개성중학교,개성고등학교,,양정초등학교-부산개성중학교-개성고등학교,포수
2026,LG,천성호,좌,우,2717987,대한민국 광주광역시,1997-10-30,183.0,85.0,2020.0,2020년 2차 2라운드(kt 위즈),광주화정초등학교,광주충장중학교,광주진흥고등학교,단국대학교,광주화정초등학교-광주충장중학교-광주진흥고등학교-단국대학교,3루수
2026,LG,문성주,좌,좌,1983121,대한민국 경상북도 포항시,1997-02-20,175.0,78.0,2018.0,2018년 2차 10라운드(LG 트윈스),포항제철서초등학교,포항제철중학교,경북고등학교,강릉영동대학교,포항제철서초등학교-포항제철중학교-경북고등학교-강릉영동대학교,좌익수
2026,LG,오지환,좌,우,273675,대한민국 전라북도 군산시,1990-03-12,178.0,80.0,2009.0,2009년 1차 지명(LG 트윈스),군산초등학교,자양중학교,경기고등학교,경희대학교,군산초등학교-자양중학교-경기고등학교-경희대학교,유격수
2026,LG,이재원,우,우,2600568,대한민국 인천광역시,1999-07-17,192.0,100.0,2018.0,2018년 2차 2라운드(LG 트윈스),충북 석교초등학교,서울 경원중학교,서울고등학교,,충북 석교초등학교-서울 경원중학교-서울고등학교,좌익수
2026,LG,이주헌,우,우,3890122,대한민국 서울특별시,2003-03-04,185.0,92.0,2022.0,2022년 3라운드(LG 트윈스),서울이수초등학교,성남중학교,성남고등학교,,서울이수초등학교-성남중학교-성남고등학교,포수
