날짜,팀,선수명,타점,득점,타석,타수,안타,볼넷,사구,삼진,2루타,3루타,홈런,희번,희비,병살타,타격방해,고의사구,page_id,단타,TB,Outs,타율,출루율,장타율,OPS,순출루율,순장타율,K%,BB%,BB/K,BABIP,SecA,PA/HR,AB/HR,GPA,RC,RC/27,XR,TAVG,연도,home_stadium,FinalPF,wOBA,wRAA,wRC+,stint_id
2026-03-28,SSG,최정,0.0,0.0,5.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74405,1.0,1.0,2.0,0.3333333333333333,0.6,0.3333333333333333,0.9333333333333332,0.2666666666666666,0.0,0.2,0.2,1.0,0.5,0.3333333333333333,0.0,0.0,0.3533333333333333,0.4285714285714285,5.785714285714286,1.1720000000000002,1.5,2026,문학,1.027807913649001,0.5219145668215701,0.6320133030499677,182.00622405964944,0
2026-03-29,SSG,최정,1.0,0.0,10.0,6.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,74405,1.0,1.0,6.0,0.1666666666666666,0.4,0.1666666666666666,0.5666666666666667,0.2333333333333333,0.0,0.2,0.2,1.0,0.2,0.3333333333333333,0.0,0.0,0.2216666666666666,0.2307692307692307,1.0384615384615383,1.964,0.6666666666666666,2026,문학,1.027807913649001,0.3315391790447634,-0.4123356882894454,70.6711339352333,0
2026-03-30,SSG,최정,1.0,0.0,10.0,6.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,74405,1.0,1.0,6.0,0.1666666666666666,0.4,0.1666666666666666,0.5666666666666667,0.2333333333333333,0.0,0.2,0.2,1.0,0.2,0.3333333333333333,0.0,0.0,0.2216666666666666,0.2307692307692307,1.0384615384615383,1.964,0.6666666666666666,2026,문학,1.027807913649001,0.3315391790447634,-0.4123356882894454,70.6711339352333,0
2026-03-31,SSG,최정,1.0,2.0,15.0,10.0,3.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,74405,2.0,4.0,8.0,0.3,0.4666666666666667,0.4,0.8666666666666667,0.1666666666666666,0.1,0.1333333333333333,0.2,1.5,0.3333333333333333,0.4,0.0,0.0,0.31,1.263157894736842,4.263157894736842,3.704,1.0,2026,문학,1.027807913649001,0.4211378440794192,0.7126836840931078,129.65594712193217,0
2026-04-01,SSG,최정,1.0,2.0,19.0,14.0,4.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,74405,3.0,5.0,11.0,0.2857142857142857,0.4210526315789473,0.3571428571428571,0.7781954887218046,0.1353383458646616,0.0714285714285714,0.1578947368421052,0.1578947368421052,1.0,0.3333333333333333,0.2857142857142857,0.0,0.0,0.2787593984962406,1.5217391304347827,3.735177865612648,4.286,0.8181818181818182,2026,문학,1.027807913649001,0.382777855509765,0.1891471861471871,103.76169475843795,0
2026-04-02,SSG,최정,3.0,4.0,23.0,17.0,5.0,4.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,74405,3.0,9.0,13.0,0.2941176470588235,0.4347826086956521,0.5294117647058824,0.9641943734015346,0.1406649616368286,0.2352941176470588,0.1304347826086956,0.1739130434782608,1.3333333333333333,0.2857142857142857,0.4705882352941176,23.0,17.0,0.3280051150895141,2.892857142857143,6.008241758241758,6.246,1.0769230769230769,2026,문학,1.027807913649001,0.4325631717232706,1.3870909103452085,137.30876476742938,0
2026-04-03,SSG,최정,4.0,5.0,27.0,20.0,7.0,4.0,2.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,74405,3.0,13.0,14.0,0.35,0.4814814814814814,0.65,1.1314814814814815,0.1314814814814814,0.3,0.1111111111111111,0.1481481481481481,1.3333333333333333,0.3529411764705882,0.5,27.0,20.0,0.3791666666666666,4.727272727272728,9.116883116883118,8.115999999999998,1.3571428571428572,2026,문학,1.027807913649001,0.4944819734443016,3.0728044205588425,174.51481653530658,0
2026-04-04,SSG,최정,5.0,7.0,32.0,24.0,9.0,5.0,2.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,74405,5.0,15.0,16.0,0.375,0.5,0.625,1.125,0.125,0.25,0.09375,0.15625,1.6666666666666667,0.3809523809523809,0.4583333333333333,32.0,24.0,0.38125,5.769230769230769,9.735576923076923,9.636,1.375,2026,문학,1.027807913649001,0.5007042359964105,3.7840796894170543,178.78527158332318,0
2026-04-05,SSG,최정,5.0,8.0,37.0,25.0,10.0,9.0,2.0,3.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,74405,5.0,17.0,16.0,0.4,0.5675675675675675,0.68,1.2475675675675677,0.1675675675675675,0.28,0.081081081081081,0.2432432432432432,3.0,0.4090909090909091,0.64,37.0,25.0,0.4254054054054054,7.083333333333333,11.953125,11.626,1.75,2026,문학,1.027807913649001,0.5462854741800988,5.85268442278667,211.90895551897603,0
2026-04-06,SSG,최정,5.0,8.0,37.0,25.0,10.0,9.0,2.0,3.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,74405,5.0,17.0,16.0,0.4,0.5675675675675675,0.68,1.2475675675675677,0.1675675675675675,0.28,0.081081081081081,0.2432432432432432,3.0,0.4090909090909091,0.64,37.0,25.0,0.4254054054054054,7.083333333333333,11.953125,11.626,1.75,2026,문학,1.027807913649001,0.5462854741800988,5.85268442278667,211.90895551897603,0
2026-04-07,SSG,최정,7.0,9.0,41.0,29.0,11.0,9.0,2.0,4.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,74405,5.0,21.0,19.0,0.3793103448275862,0.5365853658536586,0.7241379310344828,1.2607232968881412,0.1572750210260723,0.3448275862068966,0.0975609756097561,0.2195121951219512,2.25,0.375,0.6551724137931034,20.5,14.5,0.422497897392767,8.48076923076923,12.05161943319838,13.148,1.6842105263157894,2026,문학,1.027807913649001,0.5441909421324059,6.392628544354169,213.8558617741037,0
