Season,Team,Pitcher,ThrowHand,BatSide,page_id,birthplace,birthdate,height_cm,weight_kg,pro_debut_year,draft_info,elementary_school,middle_school,high_school,university,school,position
2026,KT,사우어,우,우,10000000,,1999-01-21,193.0,,,,,,,,,투수
2026,KT,전용주,좌,좌,2488113,대한민국 경기도 안성시,2000-02-12,188.0,87.0,2019.0,2019년 1차 지명(kt 위즈),양진초등학교,경기 성일중학교,안산공업고등학교,,양진초등학교-경기 성일중학교-안산공업고등학교,투수
2026,KT,한승혁,우,좌,606770,대한민국 서울특별시,1993-01-03,185.0,100.0,2011.0,2011년 1라운드(KIA 타이거즈),서울도신초등학교,강남중학교,덕수고등학교,남부대학교,서울도신초등학교-강남중학교-덕수고등학교-남부대학교,투수
2026,KT,스기모토,우,우,10000001,,2000-05-19,182.0,,,,,,,,,투수
2026,KT,우규민,우,우,236907,대한민국 대구광역시,1985-01-21,184.0,75.0,2003.0,2003년 2차 3라운드(LG 트윈스),서울 성동초등학교,휘문중학교,휘문고등학교,,서울 성동초등학교-휘문중학교-휘문고등학교,투수
2026,KT,박영현,우,우,3198300,대한민국 전라남도 구례군,2003-10-11,183.0,91.0,2022.0,2022년 1차 지명(kt 위즈),부천북초등학교,부천중학교,유신고등학교,,부천북초등학교-부천중학교-유신고등학교,투수
2026,LG,치리노스,우,우,3925530,베네수엘라,1993-12-26,188.0,102.0,2012.0,,,,,,,투수
2026,LG,배재준,우,우,873442,대한민국 대구광역시,1994-11-24,188.0,80.0,2013.0,2013년 2라운드(LG 트윈스),대구본리초등학교,경상중학교,대구상원고등학교,,대구본리초등학교-경상중학교-대구상원고등학교,투수
2026,LG,이정용,우,우,2795411,대한민국 서울특별시,1996-03-26,186.0,85.0,2019.0,2019년 1차 지명(LG 트윈스),서울영일초등학교,서울 성남중학교,서울 성남고등학교,동아대학교,서울영일초등학교-서울 성남중학교-서울 성남고등학교-동아대학교,투수
2026,LG,함덕주,좌,좌,972917,대한민국 강원특별자치도 원주시,1995-01-13,181.0,78.0,2013.0,2013년 5라운드(두산 베어스),강원 일산초등학교,원주중학교,원주고등학교,,강원 일산초등학교-원주중학교-원주고등학교,투수
2026,LG,김영우,우,우,3977599,대한민국 서울특별시 강서구,2005-01-14,187.0,88.0,2025.0,2025년 1라운드(LG 트윈스),서울양원초등학교,신월중학교,서울고등학교,,서울양원초등학교-신월중학교-서울고등학교,투수
2026,LG,백승현,우,우,1835342,대한민국 인천광역시,1995-05-26,183.0,78.0,2015.0,2015년 2차 3라운드(LG 트윈스),소래초등학교,상인천중학교,인천고등학교,,소래초등학교-상인천중학교-인천고등학교,투수
2026,LG,우강훈,우,우,3697147,대한민국 경기도 성남시,2002-10-03,183.0,88.0,2021.0,2021년 2차 5라운드(롯데 자이언츠),희망대초등학교,매송중학교,야탑고등학교,,희망대초등학교-매송중학교-야탑고등학교,투수
2026,LG,박시원,우,우,4073237,대한민국 부산광역시 해운대구,2006-04-12,193.0,94.0,2025.0,2025년 6라운드(LG 트윈스),송수초등학교,센텀중학교,경남고등학교,,송수초등학교-센텀중학교-경남고등학교,투수
2026,KIA,네일,우,좌,3751352,미국,1993-02-08,193.0,83.0,2022.0,20라운드 608순위 (오클랜드 애슬레틱스),,,,,,투수
2026,KIA,김범수,좌,좌,1110793,대한민국 충청남도 아산시,1995-10-03,181.0,92.0,2015.0,2015년 1차 지명(한화 이글스),온양온천초등학교,온양중학교,북일고등학교,,온양온천초등학교-온양중학교-북일고등학교,투수
2026,KIA,성영탁,우,우,4036535,대한민국 부산광역시,2004-07-28,183.0,88.0,2024.0,2024년 10라운드(KIA 타이거즈),동주초등학교,부산개성중학교,부산고등학교,,동주초등학교-부산개성중학교-부산고등학교,투수
2026,KIA,전상현,우,우,1631324,대한민국 대구광역시,1996-04-18,182.0,84.0,2016.0,2016년 2차 4라운드(KIA 타이거즈),대구남도초등학교,경복중학교,대구상원고등학교,,대구남도초등학교-경복중학교-대구상원고등학교,투수
2026,KIA,정해영,우,우,2765633,대한민국 전라북도 전주시,2001-08-23,189.0,98.0,2020.0,2020년 1차 지명(KIA 타이거즈),광주대성초등학교,광주동성중학교,광주제일고등학교,,광주대성초등학교-광주동성중학교-광주제일고등학교,투수
2026,KIA,조상우,우,우,834583,대한민국 인천광역시,1994-09-04,186.0,97.0,2013.0,2013년 2차 1라운드(넥센 히어로즈),인천서화초등학교,상인천중학교,대전고등학교,,인천서화초등학교-상인천중학교-대전고등학교,투수
2026,SSG,화이트,우,우,3920646,미국,1994-12-28,190.0,95.0,,2라운드 65순위 (로스앤젤레스 다저스),,,,,,투수
2026,SSG,전영준,우,우,3226570,대한민국 충청남도 아산시,2002-04-16,192.0,110.0,2022.0,2022년 2차 9라운드(SSG 랜더스),의왕부곡초등학교,휘문중학교,대구고등학교,,의왕부곡초등학교-휘문중학교-대구고등학교,투수
2026,SSG,박시후,좌,좌,3238123,대한민국 인천광역시,2001-05-10,182.0,88.0,2020.0,2020년 2차 10라운드(SK 와이번스),상인천초등학교,상인천중학교,인천고등학교,,상인천초등학교-상인천중학교-인천고등학교,투수
2026,SSG,문승원,우,우,725147,대한민국 서울특별시,1989-11-28,180.0,88.0,2012.0,2012년 1라운드(SK 와이번스),서울가동초등학교,배명중학교,배명고등학교,고려대학교,서울가동초등학교-배명중학교-배명고등학교-고려대학교,투수
2026,SSG,이로운,우,우,3611909,대한민국 서울특별시,2004-09-11,185.0,105.0,2023.0,2023년 1라운드(SSG 랜더스),대구본리초등학교,협성경복중학교,대구고등학교,,대구본리초등학교-협성경복중학교-대구고등학교,투수
2026,SSG,김민,우,우,1797467,대한민국 경기도 성남시,1999-04-14,185.0,88.0,2018.0,2018년 1차 지명(kt 위즈),인천숭의초등학교,평촌중학교,유신고등학교,,인천숭의초등학교-평촌중학교-유신고등학교,투수
2026,롯데,로드리게스,우,우,10000002,,1998-03-31,193.0,,,,,,,,,투수
2026,롯데,정철원,우,우,3213352,대한민국 충청북도 청주시,1999-03-27,192.0,95.0,2018.0,2018년 2차 2라운드(두산 베어스),역북초등학교,송전중학교,안산공업고등학교,,역북초등학교-송전중학교-안산공업고등학교,투수
2026,롯데,최준용,우,우,2790445,대한민국 서울특별시,2001-10-10,185.0,85.0,2020.0,2020년 1차 지명(롯데 자이언츠),부산 수영초등학교,부산 대천중학교,경남고등학교,,부산 수영초등학교-부산 대천중학교-경남고등학교,투수
2026,롯데,쿄야마,우,우,10000003,,1998-07-04,183.0,,,,,,,,,투수
2026,롯데,김원중,우,좌,836135,대한민국 광주광역시,1993-06-14,192.0,96.0,2012.0,2012년 1라운드(롯데 자이언츠),광주학강초등학교,광주동성중학교,광주동성고등학교,,광주학강초등학교-광주동성중학교-광주동성고등학교,투수
2026,롯데,박정민,우,좌,10000004,,2003-09-26,188.0,,,,,,,,,투수
2026,삼성,후라도,우,우,3323118,파나마 아과둘세,1996-01-30,188.0,109.0,2018.0,아마추어 FA (텍사스 레인저스),,,,,,투수
2026,삼성,육선엽,우,우,3805547,대한민국 경기도 고양시,2005-07-13,190.0,90.0,2024.0,2024년 1라운드(삼성 라이온즈),백마초등학교,신월중학교,장충고등학교,,백마초등학교-신월중학교-장충고등학교,투수
2026,삼성,임기영,우,우,811244,대한민국 대구광역시,1993-04-16,184.0,86.0,2012.0,2012년 2라운드(한화 이글스),대구수창초등학교,대구 경운중학교,경북고등학교,,대구수창초등학교-대구 경운중학교-경북고등학교,투수
2026,삼성,백정현,좌,좌,299512,대한민국 대구광역시,1987-07-13,184.0,80.0,2007.0,2007년 2차 1순위(삼성 라이온즈),대구옥산초등학교,대구중학교,대구상원고등학교,,대구옥산초등학교-대구중학교-대구상원고등학교,투수
2026,두산,플렉센,우,우,2607969,미국,1994-07-01,191.0,113.0,2017.0,14라운드 440순위 (뉴욕 메츠),,,,,,투수
2026,두산,박신지,우,우,1953587,대한민국 경기도 고양시,1999-07-16,185.0,75.0,2018.0,2018년 2차 1라운드(두산 베어스),목암초등학교,서울 영동중학교,경기고등학교,,목암초등학교-서울 영동중학교-경기고등학교,투수
2026,두산,이병헌,좌,좌,3280803,대한민국 서울특별시,2003-06-04,183.0,95.0,2022.0,2022년 1차 지명(두산 베어스),서울역삼초등학교,영동중학교,서울고등학교,,서울역삼초등학교-영동중학교-서울고등학교,투수
2026,두산,박치국,우,우,1747365,대한민국 인천광역시,1998-03-10,177.0,78.0,2017.0,2017년 2차 1라운드(두산 베어스),인천숭의초등학교,인천 신흥중학교,제물포고등학교,,인천숭의초등학교-인천 신흥중학교-제물포고등학교,투수
2026,두산,양재훈,우,우,4011537,대한민국 부산광역시,2003-05-01,186.0,89.0,2025.0,2025년 7라운드(두산 베어스),수영초등학교,사직중학교,개성고등학교,동의과학대학교,수영초등학교-사직중학교-개성고등학교-동의과학대학교,투수
