날짜,타점,득점,타석,타수,안타,볼넷,사구,삼진,2루타,3루타,홈런,희번,희비,병살타,타격방해,고의사구,팀,연도,home_stadium,FinalPF,단타,TB,Outs,타율,출루율,장타율,OPS,순출루율,순장타율,K%,BB%,BB/K,BABIP,SecA,PA/HR,AB/HR,GPA,RC,RC/27,XR,TAVG,wOBA,wRAA,wRC+
2026-03-28,6.0,6.0,43.0,39.0,12.0,4.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,KIA,2026,광주,0.9987402594586288,10.0,14.0,27.0,0.3076923076923077,0.3720930232558139,0.358974358974359,0.731067382230173,0.0644007155635062,0.0512820512820512,0.3023255813953488,0.0930232558139534,0.3076923076923077,0.4615384615384615,0.1538461538461538,0.0,0.0,0.257185450208706,4.76595744680851,4.76595744680851,7.605999999999999,0.6666666666666666,0.3415013846044528,-1.456506946972452,77.40550790458474
2026-03-29,12.0,12.0,83.0,71.0,20.0,12.0,0.0,20.0,5.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0,KIA,2026,광주,0.9987402594586288,13.0,31.0,54.0,0.2816901408450704,0.3855421686746988,0.4366197183098591,0.8221618869845579,0.1038520278296283,0.1549295774647887,0.2409638554216867,0.144578313253012,0.6,0.3673469387755102,0.323943661971831,41.5,35.5,0.2826489054810792,9.463157894736842,4.731578947368421,16.6,0.7962962962962963,0.3724365365587765,-0.2349594688529953,98.30335055617644
2026-03-30,12.0,12.0,83.0,71.0,20.0,12.0,0.0,20.0,5.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0,KIA,2026,광주,0.9987402594586288,13.0,31.0,54.0,0.2816901408450704,0.3855421686746988,0.4366197183098591,0.8221618869845579,0.1038520278296283,0.1549295774647887,0.2409638554216867,0.144578313253012,0.6,0.3673469387755102,0.323943661971831,41.5,35.5,0.2826489054810792,9.463157894736842,4.731578947368421,16.6,0.7962962962962963,0.3724365365587765,-0.2349594688529953,98.30335055617644
2026-03-31,19.0,19.0,128.0,110.0,32.0,17.0,1.0,32.0,8.0,0.0,3.0,0.0,0.0,3.0,0.0,2.0,KIA,2026,광주,0.9987402594586288,21.0,49.0,81.0,0.2909090909090909,0.390625,0.4454545454545454,0.8360795454545454,0.0997159090909091,0.1545454545454545,0.25,0.1328125,0.53125,0.3866666666666666,0.3090909090909091,42.66666666666666,36.66666666666666,0.2871448863636363,15.773972602739724,5.257990867579908,26.414,0.8271604938271605,0.3844785206299754,1.8692329793274312,110.09574285857352
2026-04-01,21.0,21.0,164.0,143.0,39.0,20.0,1.0,39.0,10.0,0.0,4.0,0.0,0.0,4.0,0.0,2.0,KIA,2026,광주,0.9987402594586288,25.0,61.0,108.0,0.2727272727272727,0.3658536585365853,0.4265734265734265,0.7924270851100119,0.0931263858093126,0.1538461538461538,0.2378048780487804,0.1219512195121951,0.5128205128205128,0.35,0.2937062937062937,41.0,35.75,0.27127750298482,18.464864864864865,4.616216216216216,32.968,0.7592592592592593,0.3634392880790849,-1.2993873122761987,94.91892942465412
2026-04-02,22.0,22.0,200.0,177.0,46.0,22.0,1.0,43.0,11.0,0.0,4.0,0.0,0.0,4.0,0.0,2.0,KIA,2026,광주,0.9987402594586288,31.0,69.0,135.0,0.2598870056497175,0.345,0.3898305084745763,0.7348305084745763,0.0851129943502824,0.1299435028248587,0.215,0.11,0.5116279069767442,0.3230769230769231,0.2542372881355932,50.0,44.25,0.2527076271186441,20.112107623318387,4.022421524663677,39.04600000000001,0.6814814814814815,0.3407300625792638,-4.607843592245761,84.81080160170491
2026-04-03,24.0,24.0,234.0,206.0,49.0,26.0,1.0,52.0,12.0,0.0,5.0,1.0,0.0,5.0,0.0,2.0,KIA,2026,광주,0.9987402594586288,32.0,76.0,163.0,0.2378640776699029,0.3261802575107296,0.3689320388349514,0.6951122963456811,0.0883161798408266,0.1310679611650485,0.2222222222222222,0.1111111111111111,0.5,0.2953020134228188,0.2572815533980582,46.8,41.2,0.2390141255885661,20.38314176245211,3.376348635498202,43.384,0.6319018404907976,0.324311248741235,-9.105778657442942,73.69672069762025
2026-04-04,24.0,24.0,270.0,236.0,54.0,32.0,1.0,59.0,12.0,0.0,5.0,1.0,0.0,7.0,0.0,2.0,KIA,2026,광주,0.9987402594586288,37.0,81.0,190.0,0.2288135593220339,0.3234200743494423,0.3432203389830508,0.6666404133324932,0.0946065150274084,0.1144067796610169,0.2185185185185185,0.1185185185185185,0.5423728813559322,0.2848837209302325,0.25,54.0,47.2,0.2313441182030117,21.11881188118812,3.001094319958312,48.118,0.6,0.315708239640988,-12.722885380887188,67.62315311195883
2026-04-05,27.0,27.0,302.0,263.0,61.0,34.0,1.0,61.0,13.0,0.0,5.0,2.0,2.0,7.0,0.0,3.0,KIA,2026,광주,0.9987402594586288,43.0,89.0,213.0,0.2319391634980988,0.32,0.338403041825095,0.658403041825095,0.0880608365019011,0.1064638783269961,0.2019867549668874,0.1125827814569536,0.5573770491803278,0.2814070351758794,0.2357414448669201,60.4,52.6,0.2286007604562737,22.44807121661721,2.845530154219083,54.632,0.5821596244131455,0.3105264469980239,-13.786303894024526,67.02718421737981
2026-04-06,27.0,27.0,302.0,263.0,61.0,34.0,1.0,61.0,13.0,0.0,5.0,2.0,2.0,7.0,0.0,3.0,KIA,2026,광주,0.9987402594586288,43.0,89.0,213.0,0.2319391634980988,0.32,0.338403041825095,0.658403041825095,0.0880608365019011,0.1064638783269961,0.2019867549668874,0.1125827814569536,0.5573770491803278,0.2814070351758794,0.2357414448669201,60.4,52.6,0.2286007604562737,22.44807121661721,2.845530154219083,54.632,0.5821596244131455,0.3105264469980239,-13.786303894024526,67.02718421737981
2026-04-07,30.0,30.0,342.0,294.0,67.0,41.0,2.0,69.0,16.0,0.0,5.0,3.0,2.0,8.0,0.0,4.0,KIA,2026,광주,0.9987402594586288,46.0,98.0,240.0,0.227891156462585,0.3244837758112094,0.3333333333333333,0.6578171091445428,0.0965926193486244,0.1054421768707482,0.2017543859649122,0.1198830409356725,0.5942028985507246,0.2792792792792792,0.2448979591836734,68.4,58.8,0.2293510324483775,24.69090909090909,2.777727272727273,61.338,0.5875,0.3128545483176614,-13.333810810369767,70.96059542210074
2026-04-08,45.0,45.0,396.0,336.0,86.0,51.0,2.0,74.0,18.0,0.0,7.0,4.0,3.0,9.0,0.0,4.0,KIA,2026,광주,0.9987402594586288,61.0,125.0,266.0,0.2559523809523809,0.3545918367346938,0.3720238095238095,0.7266156462585034,0.0986394557823129,0.1160714285714286,0.1868686868686868,0.1287878787878787,0.6891891891891891,0.3062015503875969,0.2678571428571428,56.57142857142857,48.0,0.2525722789115646,34.24276169265033,3.475769043990823,77.72800000000001,0.6691729323308271,0.3430716941554254,-5.63053409299999,89.47253852092449
