연도,날짜,gameId,팀,타점,득점,타석,타수,안타,볼넷,사구,피삼진,2루타,3루타,홈런,희생번트,희생플라이,병살타,타격방해,고의사구,투구점수,아웃수,피안타,피홈런,볼넷_1,삼진,실점,자책,타자수,투구수,G
2026,2026-03-28,20260328HTSK0,KIA,6,6,43,39,12,4,0,13,2,0,0,0,0,0,0,2,280.9,25,8,0,6,8,7,6,39,164,6
2026,2026-03-28,20260328HTSK0,SSG,5,7,39,33,8,5,1,8,1,0,0,0,0,0,0,0,287.9,27,12,0,4,13,6,6,43,174,6
2026,2026-03-28,20260328KTLG0,KT,11,11,49,42,18,4,2,5,1,1,1,0,1,0,0,0,264.9,27,12,1,8,5,7,7,46,182,6
2026,2026-03-28,20260328KTLG0,LG,7,7,46,36,12,8,0,5,1,0,1,0,2,1,0,0,339.7,27,18,1,6,5,11,11,49,183,8
2026,2026-03-28,20260328LTSS0,롯데,6,6,39,36,11,1,0,6,2,0,3,1,1,0,0,0,293.9,27,8,0,8,10,3,2,43,190,6
2026,2026-03-28,20260328LTSS0,삼성,3,3,43,35,8,7,1,10,2,0,0,0,0,0,0,0,182.1,27,11,3,1,6,6,6,39,141,4
2026,2026-03-28,20260328OBNC0,NC,6,6,39,29,5,7,2,9,1,0,1,1,0,2,0,0,316.9,27,3,0,3,4,0,0,34,147,6
2026,2026-03-28,20260328OBNC0,두산,0,0,34,31,3,2,1,4,1,0,0,0,0,0,0,0,279.4,24,5,1,9,9,6,3,39,166,6
2026,2026-03-28,20260328WOHH0,키움,8,9,54,42,12,11,1,9,3,0,0,0,0,2,0,0,310.8,32,16,2,4,9,10,10,50,187,7
2026,2026-03-28,20260328WOHH0,한화,9,10,50,46,16,4,0,9,2,0,2,0,0,2,0,0,410.1,33,12,0,12,9,9,9,54,230,9
2026,2026-03-29,20260329HTSK0,KIA,6,6,40,32,8,8,0,7,3,0,2,0,0,3,0,0,250.4,24,8,3,8,7,11,11,40,165,6
